----------------------------------------------------------------
Epoch 137/300, Train Loss: 0.526, Train Accuracy: 81.57%, Test Loss: 0.0038, Test Accuracy: 83.81%
Epoch 138/300, Train Loss: 0.527, Train Accuracy: 81.48%, Test Loss: 0.0037, Test Accuracy: 84.02%
Epoch 139/300, Train Loss: 0.523, Train Accuracy: 81.44%, Test Loss: 0.0038, Test Accuracy: 83.86%
Epoch 140/300, Train Loss: 0.525, Train Accuracy: 81.60%, Test Loss: 0.0037, Test Accuracy: 83.82%
Epoch 141/300, Train Loss: 0.525, Train Accuracy: 81.65%, Test Loss: 0.0038, Test Accuracy: 83.36%
Epoch 142/300, Train Loss: 0.521, Train Accuracy: 81.74%, Test Loss: 0.0037, Test Accuracy: 84.37%
Epoch 143/300, Train Loss: 0.517, Train Accuracy: 82.01%, Test Loss: 0.0037, Test Accuracy: 84.17%
Epoch 144/300, Train Loss: 0.517, Train Accuracy: 82.00%, Test Loss: 0.0039, Test Accuracy: 83.50%
Epoch 145/300, Train Loss: 0.522, Train Accuracy: 81.84%, Test Loss: 0.0038, Test Accuracy: 83.59%
Epoch 146/300, Train Loss: 0.517, Train Accuracy: 81.83%, Test Loss: 0.0036, Test Accuracy: 84.46%
Epoch 147/300, Train Loss: 0.512, Train Accuracy: 82.08%, Test Loss: 0.0037, Test Accuracy: 84.10%
Epoch 148/300, Train Loss: 0.520, Train Accuracy: 81.88%, Test Loss: 0.0038, Test Accuracy: 83.78%
Epoch 149/300, Train Loss: 0.520, Train Accuracy: 81.84%, Test Loss: 0.0039, Test Accuracy: 83.25%
Epoch 150/300, Train Loss: 0.514, Train Accuracy: 81.89%, Test Loss: 0.0038, Test Accuracy: 83.82%
Epoch 151/300, Train Loss: 0.512, Train Accuracy: 82.15%, Test Loss: 0.0037, Test Accuracy: 83.59%
Epoch 152/300, Train Loss: 0.513, Train Accuracy: 82.10%, Test Loss: 0.0037, Test Accuracy: 84.19%
Epoch 153/300, Train Loss: 0.513, Train Accuracy: 82.15%, Test Loss: 0.0037, Test Accuracy: 84.33%
